id,username,ip,transactionTime,startTime,endTime,authorizationID,platform,usernames,polygon
7,Jimmy Page,192.168.1.12,25/02/2019 14:05,2019-07-19 21:39:17 UTC,2019-07-23 21:39:17 UTC,DEV-7-2019,NewYorkTimes,95359041,"POLYGON ((46.5548251, 15.5817763), (47.5548251,15.5817763),(46.5548251, 16.0817763), (47.5548251,16.0817763),(46.5548251,15.5817763))"
13,John Paul Jones,192.168.1.12,26/12/2019 09:32,2019-04-18 06:31:20 UTC,2019-04-20 06:31:20 UTC,DEV-13-2019,DailyExpress,"06569867, 60902138, 94995052, 78964080, 31348239, 41307274, 19492990, 89855335","POLYGON ((10.4825247, 105.4771084), (11.4825247,105.4771084),(10.4825247, 105.9771084), (11.4825247,105.9771084),(10.4825247,105.4771084))"
14,John Paul Jones,192.168.1.12,08/05/2019 11:07,2019-06-26 07:15:39 UTC,2019-07-01 07:15:39 UTC,DEV-14-2019,TheGuardian,"05644162, 50636583, 79271840, 24180809","POLYGON ((-6.8775205, 115.2807951), (-5.8775205,115.2807951),(-6.8775205, 115.7807951), (-5.8775205,115.7807951),(-6.8775205,115.2807951))"
15,Jimmy Page,192.168.1.12,28/06/2019 15:45,2019-10-14 17:31:59 UTC,2019-10-18 17:31:59 UTC,DEV-15-2019,DailyExpress,"18845482, 53838775, 04605060, 27621387","POLYGON ((48.1164447, -1.7128603), (49.1164447,-1.7128603),(48.1164447, -1.2128603), (49.1164447,-1.2128603),(48.1164447,-1.7128603))"
16,Jimmy Page,192.168.1.12,15/10/2019 13:21,2019-08-18 16:42:05 UTC,2019-08-20 16:42:05 UTC,DEV-16-2019,TheSun,"76711231, 55857996, 19561237, 25029678, 87685619, 75289147, 99740033, 62677896, 07733744, 69502629","POLYGON ((35.422892, 103.352654), (36.422892,103.352654),(35.422892, 103.852654), (36.422892,103.852654),(35.422892,103.352654))"
27,John Paul Jones,192.168.1.55,23/04/2019 10:56,2019-09-13 00:11:08 UTC,2019-09-16 00:11:08 UTC,DEV-27-2019,MailOnline,"49679887, 75990234, 46645980, 28118411, 71876416, 97589484, 46748014, 18637017, 10167988, 54860583, 48621649","POLYGON ((-6.490877, 106.7952511), (-5.490877,106.7952511),(-6.490877, 107.2952511), (-5.490877,107.2952511),(-6.490877,106.7952511))"
35,Jimmy Page,192.168.1.12,26/02/2019 08:50,2019-10-08 09:51:21 UTC,2019-10-14 09:51:21 UTC,DEV-35-2019,DailyExpress,"59845719, 49170119, 29673639","POLYGON ((37.1212974, 79.9088564), (38.1212974,79.9088564),(37.1212974, 80.4088564), (38.1212974,80.4088564),(37.1212974,79.9088564))"
38,Jimmy Page,192.168.1.12,08/01/2020 11:30,2019-12-20 18:52:56 UTC,2019-12-26 18:52:56 UTC,DEV-38-2020,NewYorkTimes,"79150773, 90749561, 65996401","POLYGON ((30.912962, 75.854942), (31.912962,75.854942),(30.912962, 76.354942), (31.912962,76.354942),(30.912962,75.854942))"
41,John Paul Jones,192.168.1.12,19/04/2019 12:48,2019-09-09 01:47:12 UTC,2019-09-11 01:47:12 UTC,DEV-41-2019,TheGuardian,"40743149, 98308375, 61246401, 45769435, 66447546, 73511314, 20103736, 32372351","POLYGON ((23.342031, 113.106055), (24.342031,113.106055),(23.342031, 113.606055), (24.342031,113.606055),(23.342031,113.106055))"
47,John Paul Jones,192.168.1.47,27/05/2019 14:54,2019-09-02 14:40:48 UTC,2019-09-07 14:40:48 UTC,DEV-47-2019,TheTimes,"80118827, 38601806, 54364768, 77074382, 93716526, 54876400, 81370892","POLYGON ((-7.9110809, 111.4253892), (-6.9110809,111.4253892),(-7.9110809, 111.9253892), (-6.9110809,111.9253892),(-7.9110809,111.4253892))"
